Visayas System Operations
Dispatch Instruction Report
03Sep2026-03Sep2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
04LEYTE_A,"LOWER LOAD",09/03/2026 11:57:00 AM,358,330,MARKET INTERVENTION/SUSPENSION,"Advise to lower load under market intervention dispatch. Frequency control. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
04LEYTE_A,"LOWER LOAD",09/03/2026 12:23:00 PM,330,310,MARKET INTERVENTION/SUSPENSION,"Advise to lower load under market intervention dispatch. Frequency control. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
04LEYTE_A,"RAISE  LOAD",09/03/2026 12:59:00 PM,310,330,MARKET INTERVENTION/SUSPENSION,"Advise to raise load under market intervention dispatch. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
04LEYTE_A,"FOLLOW RTD",09/03/2026 1:04:00 PM,330,358,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD under market intervention dispatch. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
04LGPP_G01,"LOWER LOAD",09/03/2026 12:02:00 PM,112,90,MARKET INTERVENTION/SUSPENSION,"Advise to lower load under market intervention dispatch. Frequency control. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
04LGPP_G01,"FOLLOW RTD",09/03/2026 1:00:00 PM,90,112,MARKET INTERVENTION/SUSPENSION,"Advise to follow RTD under market intervention dispatch. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
05CARMENDPP_U01,"CONTINUE  LOAD",09/03/2026 11:46:00 AM,10,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue load under market intervention dispatch. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
05CARMENDPP_U02,"CONTINUE  LOAD",09/03/2026 11:46:00 AM,8.8,8.8,MARKET INTERVENTION/SUSPENSION,"Advise to continue load under market intervention dispatch. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
05CARMENDPP_U02,"TRIPPED",09/03/2026 3:42:00 PM,10,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Tripped due to low lube oil pressure"
05CARMENDPP_U02,"ADVISE TO CUT-IN",09/03/2026 8:14:00 PM,0,10,MARKET INTERVENTION/SUSPENSION,"Advise to cut-in unit as SO dispatch under Market Intervention; Real Power Balancing; unit cut-in at 2025H"
05CARMENDPP_U03,"CONTINUE  LOAD",09/03/2026 11:46:00 AM,10,10,MARKET INTERVENTION/SUSPENSION,"Advise to continue load under market intervention dispatch. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
05CARMENDPP_U03,"CONTINUE  LOAD",09/03/2026 12:01:00 PM,10,8.8,MARKET INTERVENTION/SUSPENSION,"Derated due to main bearing high temperature under market intervention dispatch. An SO-initiated market intervention is issued today, 03-Sep-2026, for the Visayas grid starting interval 1115H due to the MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid and no available power import from Mindanao."
05CEDC_U01,"TRIPPED",09/03/2026 5:27:00 PM,63,0,GENERATOR PROBLEM/TROUBLE/TRIPPING,"Tripped due to High Turbine Exhaust Pressure"
